custom_edit_url	learn_path
https://github.com/netdata/netdata/edit/master/daemon/README.md	/docs/typical-netdata-agent-configurations/netdata-daemon
https://github.com/netdata/netdata/edit/master/daemon/config/README.md	/docs/typical-netdata-agent-configurations/daemon-configuration
https://github.com/netdata/netdata/edit/master/docs/netdata-for-IoT.md	/docs/miscellaneous/netdata-for-iot
https://github.com/netdata/netdata/edit/master/docs/Demo-Sites.md	/docs//live-demos
https://github.com/netdata/netdata/edit/master/docs/Running-behind-h2o.md	/docs/typical-netdata-agent-configurations/securing-netdata-agents/reverse-proxies/h2o
https://github.com/netdata/netdata/edit/master/docs/Running-behind-lighttpd.md	/docs/typical-netdata-agent-configurations/securing-netdata-agents/reverse-proxies/lighttpd-v1.4.x
https://github.com/netdata/netdata/edit/master/docs/Running-behind-haproxy.md	/docs/typical-netdata-agent-configurations/securing-netdata-agents/reverse-proxies/haproxy
https://github.com/netdata/netdata/edit/master/docs/glossary.md	/docs/miscellaneous/glossary
https://github.com/netdata/netdata/edit/master/docs/Running-behind-caddy.md	/docs/typical-netdata-agent-configurations/securing-netdata-agents/reverse-proxies/caddy
https://github.com/netdata/netdata/edit/master/docs/Running-behind-apache.md	/docs/typical-netdata-agent-configurations/securing-netdata-agents/reverse-proxies/apache
https://github.com/netdata/netdata/edit/master/docs/anonymous-statistics.md	/docs/typical-netdata-agent-configurations/securing-netdata-agents/anonymous-telemetry-events
https://github.com/netdata/netdata/edit/master/docs/netdata-security.md	/docs/netdata-architecture/security-and-privacy-design
https://github.com/netdata/netdata/edit/master/docs/Running-behind-nginx.md	/docs/typical-netdata-agent-configurations/securing-netdata-agents/reverse-proxies/nginx
https://github.com/netdata/netdata/edit/master/docs/guidelines.md	/docs/contributing-to-netdata/contribute-to-the-documentation
https://github.com/netdata/netdata/edit/master/docs/store/distributed-data-architecture.md	/docs/netdata-architecture/distributed-data-architecture
https://github.com/netdata/netdata/edit/master/docs/store/change-metrics-storage.md	/docs/typical-netdata-agent-configurations/optimizing-metrics-database/change-how-long-netdata-stores-metrics
https://github.com/netdata/netdata/edit/master/docs/metrics-storage-management/enable-streaming.md	/docs/metrics-streaming-and-replication/understanding-how-streaming-works
